year,RegionName,population,median_value,gross_rent_total,median_income
2015,Beaumont-Port Arthur TX,404176.20000000007,97774.28571428575,759.0571428571435,45883.22857142859
2016,Beaumont-Port Arthur TX,409202.2000000002,99682.85714285714,776.3714285714292,47142.48571428573
2017,Beaumont-Port Arthur TX,409687.20000000024,103105.71428571429,798.5428571428577,48911.17142857144
2018,Beaumont-Port Arthur TX,405631.20000000024,108042.85714285717,825.5714285714291,51189.285714285725
2019,Beaumont-Port Arthur TX,397034.2000000002,114494.2857142858,857.4571428571436,53976.828571428574
2020,Beaumont-Port Arthur TX,383896.20000000007,122460.00000000017,894.2000000000008,57273.799999999996
2021,Beaumont-Port Arthur TX,366217.1999999999,131940.0000000003,935.800000000001,61080.19999999999
2022,Beaumont-Port Arthur TX,343997.19999999966,142934.28571428615,982.2571428571441,65396.02857142856
2015,Beaver Dam WI,88610.25714285715,152954.2857142858,761.4,53536.11428571433
2016,Beaver Dam WI,88235.77142857145,154202.85714285722,766.6000000000001,54568.7428571429
2017,Beaver Dam WI,87958.14285714287,156165.71428571438,776.8000000000002,56146.08571428575
2018,Beaver Dam WI,87777.37142857145,158842.85714285725,792.0,58268.142857142884
2019,Beaver Dam WI,87693.45714285718,162234.28571428583,812.1999999999997,60934.9142857143
2020,Beaver Dam WI,87706.40000000007,166340.00000000015,837.3999999999992,64146.40000000001
2021,Beaver Dam WI,87816.2000000001,171160.0000000002,867.5999999999985,67902.59999999999
2022,Beaver Dam WI,88022.85714285728,176694.28571428597,902.7999999999977,72203.51428571426
2015,Beckley WV,124103.45714285718,89957.1428571429,624.6857142857143,38992.857142857145
2016,Beckley WV,123051.37142857147,93291.4285714286,628.6571428571428,39938.17142857143
2017,Beckley WV,121815.1428571429,96382.85714285716,637.9142857142858,40871.34285714287
2018,Beckley WV,120394.77142857148,99231.42857142861,652.4571428571429,41792.37142857143
2019,Beckley WV,118790.25714285718,101837.1428571429,672.2857142857144,42701.25714285714
2020,Beckley WV,117001.60000000003,104200.00000000009,697.4000000000002,43597.999999999985
2021,Beckley WV,115028.80000000002,106320.00000000012,727.8000000000002,44482.59999999998
2022,Beckley WV,112871.85714285714,108197.14285714303,763.4857142857145,45355.057142857106
2015,Bedford IN,45801.14285714287,99777.14285714283,630.0285714285717,45341.02857142858
2016,Bedford IN,45725.02857142858,104751.42857142858,648.8857142857146,47307.68571428572
2017,Bedford IN,45659.05714285715,109482.85714285716,665.1714285714288,49397.77142857144
2018,Bedford IN,45603.22857142858,113971.42857142861,678.8857142857146,51611.28571428573
2019,Bedford IN,45557.54285714287,118217.1428571429,690.0285714285718,53948.2285714286
2020,Bedford IN,45522.00000000002,122220.00000000003,698.6000000000004,56408.600000000035
2021,Bedford IN,45496.60000000003,125980.00000000003,704.6000000000005,58992.400000000045
2022,Bedford IN,45481.342857142896,129497.14285714286,708.0285714285719,61699.62857142863
2015,Beeville TX,32656.400000000023,72651.4285714286,802.5142857142855,42706.742857142875
2016,Beeville TX,32712.80000000002,76214.28571428574,859.7428571428574,43630.42857142859
2017,Beeville TX,32724.20000000002,80548.57142857146,890.6857142857147,44110.257142857154
2018,Beeville TX,32690.60000000002,85654.28571428574,895.3428571428574,44146.22857142858
2019,Beeville TX,32612.000000000022,91531.4285714286,873.7142857142856,43738.34285714287
2020,Beeville TX,32488.400000000023,98180.0,825.7999999999994,42886.60000000001
2021,Beeville TX,32319.80000000003,105599.99999999997,751.5999999999985,41591.000000000015
2022,Beeville TX,32106.200000000033,113791.42857142852,651.1142857142831,39851.54285714288
2015,Bellefontaine OH,45484.00000000004,119702.85714285716,691.6857142857144,49681.60000000002
2016,Bellefontaine OH,45386.800000000025,123808.57142857145,707.857142857143,51330.20000000002
2017,Bellefontaine OH,45326.60000000002,127157.14285714288,719.3142857142859,53076.80000000002
2018,Bellefontaine OH,45303.400000000016,129748.57142857148,726.057142857143,54921.400000000016
2019,Bellefontaine OH,45317.20000000002,131582.85714285722,728.0857142857145,56864.00000000001
2020,Bellefontaine OH,45368.00000000003,132660.00000000012,725.4000000000002,58904.6
2021,Bellefontaine OH,45455.80000000005,132980.00000000015,718.0000000000002,61043.19999999998
2022,Bellefontaine OH,45580.600000000064,132542.85714285733,705.8857142857145,63279.79999999997
2015,Bellingham WA,207081.42857142867,274525.71428571444,923.0285714285714,53103.657142857155
2016,Bellingham WA,209714.2857142858,283737.14285714296,942.0857142857142,54308.97142857144
2017,Bellingham WA,212893.5714285715,298634.2857142858,971.5714285714286,56361.14285714287
2018,Bellingham WA,216619.2857142858,319217.14285714296,1011.4857142857144,59260.17142857145
